indentation	style_name	style_description
;;;	Ritual Ambient 	Dark, deep, disturbing, ritualistic, and occult atmosphere.
;;	Deconstructed Club 	Emerged in the 2010s as the hybridization of diverse Electronic Dance Music genres with an abrasive Post-Industrial sound.
;;	EBM 	Melodic and dancefloor-friendly take on Post-Industrial music that developed in the early 1980s.
;;;	Dark Electro 	Emerged in the early 1990s in Europe, incorporating the abrasiveness of old school Industrial but with a greater focus on a horror-inspired atmosphere and harsh, distorted vocals.
;;;;	Aggrotech 	Merges aggressive-sounding synths and apocalyptic atmospheres with harsh 4/4 beats and fast tempos.
;;;	Futurepop 	Derivative of EBM, retaining its apocalyptic worldview but incorporating heavy influence from the melodic style of Synthpop.
;;;	New Beat 	Emerged in the mid-1980s in Belgium; characterized by dark basslines, hard-hitting grooves and a slow tempo.
;;	Electro-Industrial 	Formed in the late 1980s and early 1990s; grew out of a combination of EBM and Industrial.
;;;	Dark Electro 	Emerged in the early 1990s in Europe, incorporating the abrasiveness of old school Industrial but with a greater focus on a horror-inspired atmosphere and harsh, distorted vocals.
;;;;	Aggrotech 	Merges aggressive-sounding synths and apocalyptic atmospheres with harsh 4/4 beats and fast tempos.
;;	Industrial Hardcore 	Fuses the sonic palettes and aesthetics of Industrial with the intense rhythms of Gabber, Speedcore, Doomcore and other subsequent styles.
;;	Industrial Hip Hop 	Incorporates harsh elements inspired by Industrial music such as blaring, noisy synths, distorted and metallic percussion, as well as more aggressive and off-kilter rapping styles.
;;	Industrial Metal 	Incorporates the abrasive and heavy sound of Industrial into Metal, using elements like synthesizers and drum machines.
;;;	Cyber Metal 	Originated around 1999, influenced by EBM and Aggrotech with more melodic and less repetitive riffs as well as harsh vocals.
;;;	Neue Deutsche Härte 	Alternative Metal and Industrial Metal that incorporates various aspects of electronic music, specifically Electronic Dance Music.
;;	Industrial Rock 	Incorporates abrasive guitars and synthesizers inspired by Industrial and various Post-Industrial styles.
;;	Industrial Techno 	Harder, darker style of Techno which draws parallels with factories and the rhythm of machinery.
;;;	Birmingham Sound 	Cold, mechanical, and hypnotic tracks, typically lacking the harsher and noisier elements of later Industrial Techno.
;;	Martial Industrial 	Incorporates elements of traditional European military marches with Neoclassical Darkwave, Dark Ambient, Industrial, and Neofolk.
;;	Power Noise 	Combines looped samples of Noise with Electronic rhythms.
	Jazz 	Originating in African American communities in the Southern United States around the turn of the 20th century, building on New Orleans Brass Band ensemble and influences from Ragtime and Blues to become a very popular style by the emergence of Swing in the 1930s.
;	Afro-Jazz 	African-styled percussion and rhythms.
;	Arabic Jazz 	Blending of Arabic Music and Jazz.
;	Avant-Garde Jazz 	Combines traditional or mainstream Jazz stylings with non-traditional techniques of avant-garde art music by experimenting with characteristics such as rhythm, harmony, structure, melody, and instrumentation.
;;	Experimental Big Band 	Dispensing with traditional Jazz structures and Swing sounds, instead performing Avant-Garde Jazz and pushing the boundaries of the medium.
;;	Free Jazz 	Attempts to break free from the conventions and patterns of earlier Jazz subgenres through the use of elements such as dissonance, atonality, and free-flowing rhythmic structures.
;;;	European Free Jazz 	Arose in Europe in the late 1960s and early 1970s, moving even further from the Jazz tradition by often dropping the swinging rhythm, taking liberties with the use of atonality and noise.
;	Bebop 	Fast tempos, improvisation, irregular melodic phrasing, and complex harmonies and chord structures.
;	Big Band 	Commonly associated with the golden era of Swing in the 1930s and 1940s, performed by a large ensemble including brass, woodwinds, and usually a rhythm section.
;;	Experimental Big Band 	Dispensing with traditional Jazz structures and Swing sounds, instead performing Avant-Garde Jazz and pushing the boundaries of the medium.
;;	Progressive Big Band 	Introduces Western Classical Music compositional techniques into Big Band.
;	British Dance Band 	Came from the dancehalls of the 1920s and 1930s, combining a British take on Jazz with the Music Hall tradition.
;	Bulawayo Jazz 	Emerged from the city of Bulawayo, Zimbabwe in the early 1950s, led by the alto sax and accompanied by ensembles.
;	Cape Jazz 	Developed parallel to American Jazz in the early 20th century, named for its origin in Cape Town, South Africa.
;	Cartoon Music 	Zany and uptempo; incorporated elements of Western Classical Music and Modern Classical into frantic Big Band arrangements, playfully chaotic to match the on-screen actions of cartoon characters and the beat of their movements.
;	Chamber Jazz 	Made by mostly small acoustic-based ensembles with emphasized improvisation and influenced by Neoclassicism and Traditional Folk Music.
;	Cool Jazz 	Developed in the late 1940s alongside and in response to Bebop, featuring a more restrained, emotionally "cool" style.
;	Crime Jazz 	Gritty, moody style that emerged in the mid-1950s to accompany film noir movies and hard-boiled detective/crime-themed TV shows.
;	Dark Jazz 	Melancholic and gloomy Film noir-inspired atmosphere and influence from Crime Jazz and Dark Ambient.
;	Dixieland 	Developed in New Orleans in the 1910s, incorporating influences from Ragtime and Blues into cacophonous, polyphonic arrangements with instruments trading places between accompaniment and soloist.
;	ECM Style Jazz 	Primarily associated with ECM Records, combining elements of Jazz Fusion with the subdued atmosphere of Cool Jazz and the Western Classical Music bent of Third Stream.
;	Ethio-Jazz 	Unique blend of traditional Ethiopic Music and Jazz.
;	Flamenco Jazz 	Combination of Jazz with Flamenco nuevo, the contemporary style of Flamenco, which was pioneered in the late 1960s.
;	Hard Bop 	A continuation of Bebop that reintroduces more traditional African-American musical features, such as bluesy melodies, slow to medium tempos, and a more groove-oriented sound, while retaining the expressive improvisation.
;	Indo Jazz 	Fuses the various musical traditions of the Indian subcontinent with jazzy musical structures.
;	Jazz-Funk 	Jazz highly influenced by Funk.
;	Jazz Fusion 	Near-universal usage of electric guitars and keyboards coupled with influences from genres such as Rock, Rhythm & Blues, Funk, and Traditional Folk Music, and a relative degree of harmonic simplicity.
;	Jazz manouche 	Combines Jazz with several aspects of Romani Folk Music.
;	Jazz Poetry 	Emerged in the 1920s, incorporating the style and rhythms of Jazz as both art forms spread throughout African-American communities in the United States.
;	Kréyol djaz 	Combines Jazz with various styles of French Caribbean Music.
;	Latin Jazz 	Used originally for Afro-Cuban Jazz but, due to its evolution, is now used for the fusion of jazz with Latin American rhythms, especially genres with African origin.
;;	Afro-Cuban Jazz 	Combines Jazz with the rhythm of Afro-Cuban music like Habanera.
;	Marabi 	South African Jazz with origins in the 1920s and rooted in traditional South African music.
;;	Kwela 	Influenced by Zulu music, characterized by its happy melodies, played by pennywhistle flutes and accompanied by a banjo or a guitar.
;;	Mbaqanga 	Emerged from the traditional Marabi Jazz and Swing as well as Kwela popular South African genres.
;	Modal Jazz 	Utilizes musical modes as harmonic framework over traditionally used chord progressions.
;;	Jazz Mugham 	Combines Jazz with elements of Azerbaijani Mugham, featuring jazz-inspired instrumental compositions, improvisations, wind and vocal elements, as well as modal scales and ornamentation techniques for emotional depth.
;	Post-Bop 	Grew out of Hard Bop in the early to mid-1960s incorporating certain untraditional elements inspired largely in part from Avant-Garde Jazz, Modal Jazz and eventually, Free Jazz, such as non-diatonic chord progressions, irregular rhythms and amelodic forms.
;	Samba-jazz 	Jazz genre from Brazil that incorporates Samba and/or Bossa nova elements.
;	Smooth Jazz 	Simple melodies and slick production influenced by Pop and R&B.
;	Soul Jazz 	Appeared during the 1950s when Gospel, Rhythm & Blues and later Soul started to influence the style of prolific Jazz musicians.
;	Spiritual Jazz 	Emerged in the 1960s, marked by a mixture of Jazz with approximations of ethnic styles, religious music of non-Christian traditions, and the ecstatic, transcendental aspects of Free Jazz.
;	Spy Music 	Meant to evoke the action and drama of spy films.
;	Stride 	Early form of Ragtime-derived Jazz with improvisational tendencies; named for the performers' left hand "striding" across the piano keyboard.
;	Swing 	Distinctive rhythm and large backing rhythm section over which solos are performed.
;;	Swing Revival 	Born out of 1990s alternative music; sometimes incorporating elements from newer genres such as Rockabilly, Ska, and Punk Rock.
;	Third Stream 	A fusion of Jazz and Western Classical Music, with improvisation as a vital component.
;	Vocal Jazz 	Focused on vocals, generally using a more traditional, poppy strong structure and reducing the role of improvisation.
;;	Vocalese 	Newly written lyrics set to the melody of an existing instrumental solo, often in a Bebop or Big Band style, and characterized by syllabic phrasing.
	Metal 	Driving and distorted riffs, aggressive drumming, vigorous vocals, and an all-around show of brute force in its early days, since branching into dozens of subgenres.
;	Alternative Metal 	Mid-tempo style emphasizing melodicism and rhythmic heaviness; branches outside of the stylistic conventions of Metal.
;;	Funk Metal 	Melds Funk Rock grooves with slap basslines and metallic guitarwork.
;;	Neue Deutsche Härte 	Alternative Metal and Industrial Metal that incorporates various aspects of electronic music, specifically Electronic Dance Music.
;;	Nu Metal 	Emphasizes bouncy, drop-tuned riffs, alternating vocal styles, and genre-bending, often incorporating Hip Hop and Funk Metal elements.
;;	Rap Metal 	Features rapped vocals, typically formed around heavy, mid-tempo, and groove-oriented playing in addition to elements of Hip Hop beats such as record scratching.
;	Avant-Garde Metal 	Often breaking the bounds of the genre through experimental structures and instrumentation, or by incorporating outside influences.
;	Black Metal 	Highly distorted, treble-heavy guitars, tremolo-picked riffs, blast beats and double bass drumming, shrieked vocals, and raw, lo-fi production; often focuses on occult, dark imagery and atmosphere.
